"distrito","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Independencia","7","5","7","9","7","1","7","9","7","6"
"Pueblo Libre","9","3","9","2","9","5","9","4","9","1"
"Independencia","7","8","8","4","8","4","8","10","8","8"
"San Borja","10","1","10","10","10","6","10","9","10","9"
"Pueblo Libre","9","9","9","7","10","5","9","8","9","6"
"Miraflores","5","4","5","6","5","7","5","8","5","1"
"San Borja","8","4","8","2","8","10","8","10","8","5"
"Barranco","10","8","10","5","10","7","10","8","10","2"
"Los Olivos","4","5","5","6","5","1","5","3","5","1"
"La Molina","2","8","2","7","2","2","2","6","2","8"
"Breña","9","9","9","9","9","5","9","2","9","9"
"Ate","4","10","4","1","4","10","4","7","4","10"
"Pueblo Libre","7","4","7","8","7","3","7","6","7","8"
"Independencia","7","10","7","7","7","9","7","3","7","6"
"Barranco","8","1","8","2","8","7","8","4","8","4"
"Breña","7","8","7","3","7","6","7","5","7","4"
"Santa Anita","7","3","7","6","7","7","7","5","7","6"
"La Molina","6","3","6","10","6","3","6","8","6","1"
"San Isidro","6","8","6","6","7","6","6","9","6","4"
"La Molina","8","3","8","6","8","4","8","3","8","4"
"Surco","5","7","5","10","6","2","5","9","6","6"
"La Molina","3","9","3","1","3","6","3","6","3","7"
"Breña","4","6","4","10","4","6","4","2","4","9"
"Santa Anita","5","5","5","4","5","4","5","6","5","9"
"Miraflores","1","8","1","1","1","4","1","6","1","2"
"San Isidro","10","8","10","5","10","10","10","9","10","1"
"Breña","2","9","2","3","2","8","2","7","2","9"
"San Miguel","10","6","10","9","10","3","10","10","10","3"
"San Borja","1","2","1","8","1","6","1","1","1","9"
"Breña","10","4","10","8","10","2","10","7","10","3"
"San Isidro","2","8","2","8","2","9","2","10","2","10"
"Miraflores","9","6","9","6","9","7","9","6","9","4"
"Surco","6","6","6","10","6","4","6","6","6","3"
"San Isidro","5","6","5","6","6","4","5","6","6","6"
"Los Olivos","3","9","3","10","3","6","3","6","3","5"
"Independencia","8","4","8","9","8","1","8","9","8","6"
"Ate","1","10","1","1","1","10","1","5","1","7"
"Pueblo Libre","2","2","2","10","2","1","2","4","2","7"
"Los Olivos","3","1","3","8","4","7","4","7","4","4"
"La Molina","9","7","9","10","10","7","9","6","9","4"
"Pueblo Libre","7","5","7","10","7","1","7","4","7","6"
"La Molina","7","8","7","5","7","8","7","7","7","8"
"La Molina","9","1","9","4","9","6","9","3","9","3"
"Los Olivos","9","4","10","3","10","3","10","8","10","8"
"San Borja","5","10","5","7","6","5","5","6","5","10"
"San Luis","2","9","2","5","2","4","2","5","2","6"
"Independencia","2","6","2","10","2","3","2","2","2","2"
"Ate","9","6","9","7","9","5","9","6","9","8"
"San Borja","7","8","7","8","8","1","7","10","8","10"
"Breña","6","8","6","4","7","3","6","3","6","1"
"San Borja","4","5","4","6","4","6","4","3","4","1"
"La Molina","4","1","5","1","5","6","5","4","5","8"
"San Borja","5","4","6","3","6","8","5","10","6","1"
"Ate","3","6","3","10","3","10","3","6","3","2"
"Breña","6","5","6","10","6","6","6","8","6","5"
"Breña","4","6","4","7","4","3","4","9","4","8"
"Ate","10","10","10","4","10","9","10","9","10","10"
"San Borja","9","2","9","2","9","6","9","6","9","1"
"San Isidro","9","9","9","8","10","1","9","10","9","1"
"Pueblo Libre","6","8","6","1","6","2","6","5","6","10"
"San Borja","1","6","1","10","1","6","1","3","1","4"
"San Luis","1","6","1","8","1","9","1","4","1","6"
"Los Olivos","8","7","9","6","8","5","8","4","8","4"
"Surco","8","5","8","3","8","3","8","9","8","3"
"San Isidro","9","2","9","10","9","6","9","2","9","8"
"San Borja","8","7","8","2","8","1","8","4","8","7"
"Breña","3","5","3","1","3","8","3","3","3","6"
"Surco","9","7","9","8","9","7","9","5","9","2"
"San Luis","4","4","4","6","4","5","4","8","4","10"
"Pueblo Libre","9","8","9","1","9","2","9","7","9","9"
"Breña","9","7","9","6","9","1","9","5","9","8"
"San Luis","10","1","10","4","10","8","10","10","10","7"
"San Borja","6","6","6","8","6","6","6","6","6","6"
"San Miguel","2","6","2","5","2","8","2","5","2","5"
"Surco","7","8","7","1","7","8","7","5","7","1"
"Ate","5","2","6","10","6","8","5","4","6","2"
"Pueblo Libre","2","5","2","3","2","6","2","1","2","4"
"San Luis","10","3","10","3","10","9","10","3","10","6"
"Breña","4","1","4","4","4","1","4","3","4","7"
"San Miguel","4","7","4","6","4","3","4","10","4","9"
"Los Olivos","6","8","6","3","6","10","6","9","6","9"
"Barranco","9","9","9","2","9","6","9","7","9","8"
"Los Olivos","1","6","1","8","1","4","1","5","1","4"
"Independencia","9","5","9","6","9","2","9","10","9","7"
"San Miguel","9","2","9","10","9","7","9","10","9","6"
"Barranco","8","8","8","8","8","4","8","9","8","7"
"Barranco","10","4","10","10","10","7","10","5","10","5"
"Los Olivos","2","6","2","3","2","8","2","7","2","10"
"San Borja","4","2","4","9","4","8","4","10","4","9"
"Breña","4","6","4","4","4","3","4","7","4","2"
"Santa Anita","7","10","8","4","8","4","8","8","8","8"
"San Miguel","5","7","5","6","5","4","5","7","5","5"
"La Molina","5","9","5","4","5","9","5","1","5","8"
"Los Olivos","2","6","2","4","2","7","2","1","2","1"
"Miraflores","7","4","7","7","7","10","7","8","7","6"
"Ate","3","2","3","2","3","6","3","7","3","10"
"Santa Anita","10","9","10","9","10","2","10","5","10","8"
"Breña","6","4","6","10","6","9","6","8","6","8"
"San Isidro","1","4","1","3","1","9","1","1","1","4"
"Los Olivos","6","1","6","10","6","3","6","5","6","8"
"Barranco","4","8","4","8","4","6","4","4","4","10"
"Los Olivos","2","10","2","3","2","7","2","1","2","7"
"Surco","6","9","6","3","7","8","6","7","6","5"
"San Borja","2","10","2","10","2","3","2","10","2","1"
"Miraflores","9","8","9","3","9","10","9","5","9","9"
"Miraflores","6","1","7","1","7","10","6","5","6","8"
"Los Olivos","4","10","4","1","4","5","4","8","4","1"
"Los Olivos","7","9","7","10","7","5","7","1","7","1"
"Breña","6","7","6","3","6","7","6","8","6","7"
"San Borja","5","9","6","2","6","9","6","5","6","8"
"San Luis","9","7","9","9","9","4","9","2","9","8"
"Santa Anita","2","2","2","8","2","4","2","9","2","5"
"La Molina","2","9","2","9","2","5","2","7","2","10"
"Los Olivos","3","6","3","7","3","5","3","1","3","3"
"Independencia","6","3","7","7","7","7","7","1","7","1"
"Pueblo Libre","5","3","5","10","5","2","5","6","5","9"
"Los Olivos","9","8","9","1","9","5","9","6","9","3"
"San Miguel","10","3","10","1","10","10","10","5","10","9"
"Breña","2","1","2","4","2","8","2","3","2","3"
"Barranco","4","7","4","9","4","9","4","4","4","10"
"Los Olivos","7","1","7","5","7","2","7","4","7","3"
"San Miguel","6","4","6","7","6","8","6","10","6","6"
"Miraflores","4","8","5","7","5","3","5","2","5","2"
"Santa Anita","8","3","8","3","8","3","8","10","8","10"
"Miraflores","5","7","5","7","5","1","5","9","5","5"
"Ate","9","9","9","6","9","9","9","6","9","6"
"Breña","8","4","8","1","8","8","8","1","8","2"
"Pueblo Libre","7","8","7","3","7","2","7","4","7","4"
"Barranco","9","2","9","7","10","10","9","3","9","3"
"Pueblo Libre","3","3","3","7","3","10","3","4","3","1"
"Barranco","7","4","7","9","7","2","7","5","7","8"
"Breña","4","10","5","6","5","7","5","9","5","6"
"Miraflores","7","9","7","7","7","7","7","9","7","10"
"Los Olivos","4","10","4","9","4","6","4","4","4","7"
"Ate","4","2","5","6","5","9","5","4","5","6"
"San Luis","10","3","10","7","10","5","10","10","10","2"
"Independencia","1","3","1","10","1","8","1","2","1","2"
"Surco","7","3","7","1","8","6","7","4","8","2"
"San Borja","3","6","3","3","3","4","3","10","3","7"
"La Molina","5","7","5","6","5","8","5","7","5","3"
"Santa Anita","1","4","2","1","2","6","2","3","2","6"
"San Miguel","2","3","2","3","2","5","2","2","2","5"
"La Molina","5","3","5","6","5","2","5","1","5","1"
"San Isidro","7","6","7","6","7","2","7","8","7","6"
"San Luis","10","4","10","6","10","5","10","9","10","7"
"San Luis","2","1","3","5","3","7","3","2","2","1"
"San Isidro","2","6","2","1","2","9","2","6","2","9"
"San Borja","6","6","6","3","6","6","6","8","6","7"
"Breña","2","6","2","3","2","4","2","9","2","9"
"Barranco","1","5","1","2","1","9","1","4","1","3"
"Los Olivos","1","9","2","2","2","1","2","1","2","3"
"Independencia","7","6","7","3","7","7","7","3","7","1"
"Independencia","6","6","6","2","6","1","6","7","6","4"
"Santa Anita","7","4","7","5","7","3","7","5","7","4"
"Ate","10","4","10","8","10","1","10","9","10","6"
"Breña","6","9","6","10","7","2","6","7","6","10"
"Pueblo Libre","10","4","10","8","10","2","10","9","10","2"
"Miraflores","3","10","3","9","3","7","3","10","3","2"
"Miraflores","1","6","1","9","1","3","1","6","1","1"
"San Miguel","1","10","1","1","1","10","1","5","1","4"
"Breña","10","8","10","9","10","5","10","9","10","3"
"Los Olivos","5","6","5","1","5","5","5","7","5","5"
"Barranco","10","1","10","8","10","4","10","3","10","8"
"San Miguel","9","8","9","8","10","10","9","1","9","4"
"Ate","3","7","3","7","3","8","3","1","3","10"
"San Isidro","7","9","8","4","8","9","8","4","8","3"
"San Miguel","9","2","10","9","10","7","9","2","9","5"
"San Borja","9","9","9","2","9","5","9","3","9","2"
"Barranco","6","2","6","4","6","3","6","8","6","10"
"Breña","10","9","10","5","10","7","10","9","10","1"
"San Luis","3","7","3","9","3","8","3","8","3","1"
"Ate","4","5","4","6","4","5","4","4","4","2"
"Barranco","6","7","6","2","6","9","6","4","6","6"
"Los Olivos","9","5","9","2","9","7","9","7","9","1"
"Los Olivos","3","9","3","9","3","6","3","6","3","3"
"La Molina","6","7","7","1","7","8","7","8","7","1"
"San Luis","3","8","3","3","3","1","3","10","3","2"
"Breña","6","3","6","10","6","3","6","5","6","1"
"La Molina","7","4","8","9","8","3","8","6","8","4"
"La Molina","4","2","4","9","4","5","4","8","4","5"
"Ate","8","2","9","7","9","7","9","5","9","5"
"Los Olivos","9","9","9","7","9","4","9","6","9","8"
"Breña","3","3","3","10","3","10","3","5","3","1"
"San Luis","4","4","4","1","4","8","4","1","5","7"
"La Molina","10","3","10","5","10","2","10","5","10","9"
"Breña","9","5","9","1","9","10","9","6","9","6"
"San Luis","7","10","7","1","7","10","7","2","7","5"
"Santa Anita","9","6","9","1","9","6","9","7","9","5"
"Independencia","1","10","1","1","1","4","1","10","1","6"
"Breña","6","4","6","1","7","6","6","2","6","3"
"San Isidro","5","3","6","2","6","4","5","5","6","6"
"Pueblo Libre","5","8","5","8","5","5","5","2","5","9"
"Pueblo Libre","6","6","7","1","7","1","7","7","7","1"
"Independencia","1","7","1","7","1","2","1","3","1","1"
"Barranco","8","10","8","8","8","5","8","10","8","4"
"Miraflores","8","9","9","10","9","5","9","2","9","5"
"Surco","10","1","10","4","10","3","10","10","10","10"
"Santa Anita","10","10","10","2","10","7","10","6","10","9"
"Pueblo Libre","5","1","6","5","6","6","6","6","6","3"
"Los Olivos","9","5","9","7","9","10","9","10","9","6"
"Ate","2","8","2","6","2","10","2","10","2","1"
"San Miguel","4","6","4","5","4","7","4","4","4","10"
"Los Olivos","1","3","1","8","1","3","1","6","1","2"
"Ate","7","10","7","7","7","8","7","1","7","5"
"San Borja","5","7","5","7","5","6","5","10","5","10"
"San Miguel","4","9","4","5","4","1","4","1","4","1"
"Miraflores","4","7","4","4","4","3","4","6","4","9"
"Miraflores","5","3","5","2","5","8","5","2","5","8"
"Surco","4","5","4","5","4","9","4","8","4","1"
"Los Olivos","1","10","1","10","1","7","1","2","1","4"
"Santa Anita","7","1","7","7","7","9","7","2","7","10"
"Barranco","1","5","1","8","1","5","1","3","1","5"
"Miraflores","7","10","7","4","7","3","7","5","7","2"
"La Molina","1","8","1","7","1","4","1","2","1","8"
"Los Olivos","3","3","3","1","3","5","3","7","3","9"
"Pueblo Libre","2","7","3","8","3","9","2","2","2","5"
"San Miguel","1","2","1","6","1","7","1","9","1","9"
"San Borja","6","5","6","7","6","4","6","5","6","5"
"Santa Anita","1","3","1","7","1","2","1","4","1","4"
"San Miguel","9","3","10","3","10","8","10","6","9","1"
"Independencia","6","6","6","9","6","4","6","10","6","5"
"Surco","7","2","7","4","7","9","7","6","7","6"
"Los Olivos","9","9","9","5","9","7","9","6","9","2"
"Los Olivos","8","8","8","6","8","8","8","2","8","9"
"San Miguel","4","6","4","10","4","4","4","8","4","6"
"La Molina","8","4","9","1","9","8","9","7","8","9"
"Breña","1","9","1","10","1","1","1","10","1","8"
"San Isidro","8","2","8","6","8","4","8","3","8","9"
"La Molina","3","10","3","6","3","4","3","9","3","9"
"Santa Anita","5","8","6","10","6","2","5","2","6","6"
"Surco","6","10","6","9","6","9","6","8","6","8"
"San Miguel","1","4","1","3","1","2","1","4","1","4"
"Surco","6","8","6","9","6","2","6","3","6","4"
"Surco","5","1","5","7","5","4","5","4","5","7"
"Breña","9","8","10","1","10","7","10","7","9","6"
"Miraflores","4","3","4","2","4","10","4","9","4","10"
"San Isidro","8","6","8","7","8","5","8","3","8","10"
"San Luis","2","9","2","1","2","10","2","1","2","6"
"San Luis","8","5","8","2","8","10","8","1","8","10"
"Pueblo Libre","5","3","5","9","5","3","5","3","5","2"
"Santa Anita","10","7","10","6","10","7","10","8","10","6"
"Independencia","2","1","2","2","2","4","2","10","2","2"
"Ate","7","10","7","2","7","2","7","8","7","1"
"Santa Anita","3","4","3","8","3","4","3","5","3","1"
"Santa Anita","2","6","2","7","2","10","2","4","2","3"
"Breña","1","7","1","8","1","10","1","10","1","6"
"Ate","2","9","2","5","2","8","2","7","2","1"
"Los Olivos","10","8","10","5","10","5","10","4","10","1"
"Pueblo Libre","10","10","10","10","10","6","10","10","10","3"
"San Borja","10","8","10","9","10","3","10","6","10","1"
"Miraflores","3","1","3","6","3","1","3","6","3","5"
"Surco","4","6","4","5","4","9","4","5","4","2"
"San Borja","7","1","8","9","8","3","8","2","8","5"
"Santa Anita","2","3","2","6","2","10","2","2","2","3"
"Breña","5","2","5","2","5","8","5","5","5","9"
"Santa Anita","2","6","2","2","2","8","2","3","2","5"
"Breña","6","1","6","3","6","2","6","5","6","7"
"San Luis","10","4","10","4","10","1","10","10","10","6"
"Los Olivos","8","10","8","2","8","9","8","10","8","6"
"San Borja","10","10","10","4","10","2","10","4","10","6"
"Miraflores","5","10","5","10","5","8","5","10","5","3"
"San Miguel","3","4","3","8","3","4","3","6","3","3"
"Breña","3","7","3","3","4","7","4","2","4","5"
"Santa Anita","3","9","3","3","3","7","3","8","3","9"
"Ate","7","8","7","7","7","4","7","3","8","7"
"Ate","4","2","4","1","4","7","4","8","4","5"
"San Miguel","8","3","8","4","8","7","8","7","8","10"
"Barranco","2","4","2","1","2","7","2","3","2","1"
"Santa Anita","5","3","5","7","5","6","5","5","5","8"
"Independencia","4","8","4","2","4","1","4","5","4","8"
"Pueblo Libre","10","9","10","2","10","10","10","8","10","5"
"Santa Anita","9","8","9","2","9","6","9","9","9","6"
"Miraflores","2","8","3","2","3","2","3","10","3","2"
"Breña","9","5","9","3","9","8","9","10","9","2"
"Pueblo Libre","9","3","9","8","10","6","9","1","9","4"
"Surco","4","5","4","5","4","6","4","2","4","1"
"Independencia","3","8","3","10","3","1","3","6","3","10"
"Independencia","3","10","3","8","3","8","3","5","3","5"
"San Borja","8","9","8","3","8","1","8","3","8","3"
"San Luis","5","6","6","8","6","1","6","7","6","10"
"Miraflores","2","7","2","3","2","2","2","2","2","7"
"Pueblo Libre","6","8","6","1","6","4","6","5","6","1"
"La Molina","3","8","3","7","3","7","3","1","3","3"
"La Molina","9","8","9","4","9","7","9","5","9","7"
"Pueblo Libre","9","10","9","4","9","10","9","5","9","2"
"Los Olivos","7","8","7","8","7","9","7","4","7","7"
"Los Olivos","2","2","2","10","2","5","2","9","2","5"
"San Luis","7","8","7","7","7","10","7","10","7","1"
"Surco","7","5","8","6","8","9","8","4","8","2"
"San Miguel","3","5","3","5","3","6","3","3","3","6"
"Breña","7","6","7","7","7","3","7","2","7","10"
"Santa Anita","1","10","1","2","1","5","1","6","1","10"
"Miraflores","5","2","5","1","5","7","5","3","5","1"
"San Borja","1","5","1","6","1","4","1","7","1","4"
"Breña","6","7","6","3","6","5","6","10","6","4"
"San Isidro","2","2","3","10","2","8","2","6","2","8"
"San Isidro","7","3","8","3","8","2","8","10","8","4"
"Los Olivos","8","7","8","2","8","8","8","8","8","8"
"Miraflores","9","9","9","1","9","10","9","9","9","5"
"Surco","1","2","1","6","1","5","1","10","1","6"
"Barranco","7","5","7","8","7","7","7","3","7","2"
"Independencia","2","5","2","7","2","10","2","2","2","2"
"La Molina","5","1","5","6","5","2","5","7","5","6"
"Independencia","7","5","7","7","7","3","7","10","7","9"
"Pueblo Libre","3","8","3","4","3","3","3","4","3","1"
"Breña","5","9","5","2","5","2","5","3","5","9"
"Surco","3","4","3","4","3","1","3","10","3","6"
"La Molina","7","4","7","2","7","2","7","2","7","9"
"Los Olivos","6","6","6","1","6","9","6","8","6","4"
"Breña","5","7","6","2","6","6","6","3","6","6"
"Independencia","6","2","6","10","6","4","6","5","6","5"
"Barranco","10","6","10","10","10","10","10","10","10","8"
"Miraflores","6","7","6","1","6","7","6","1","6","4"
"Surco","5","6","6","4","6","5","6","4","6","10"
"San Borja","7","1","8","10","8","8","8","2","8","1"
"San Miguel","3","1","3","4","3","3","3","4","3","6"
"Breña","10","5","10","1","10","7","10","8","10","6"
"Santa Anita","8","3","9","7","9","4","9","8","8","10"
"Los Olivos","1","3","1","3","1","8","1","5","1","2"
"San Miguel","10","1","10","8","10","3","10","7","10","2"
"Santa Anita","7","2","7","4","7","2","7","5","7","3"
"Surco","2","4","2","10","2","8","2","7","2","2"
"San Luis","10","9","10","7","10","6","10","6","10","1"
"San Luis","4","2","4","9","4","2","4","3","4","4"
"San Luis","2","3","2","9","2","4","2","5","2","9"
"Ate","5","5","5","8","6","10","5","8","5","5"
"Ate","7","10","7","1","7","10","7","9","7","3"
"Breña","7","9","7","1","7","4","7","3","7","9"
"Los Olivos","4","3","4","9","4","4","4","9","4","2"
"Ate","10","10","10","6","10","10","10","1","10","3"
"Miraflores","8","6","8","10","8","3","8","10","8","6"
"La Molina","4","7","4","8","4","6","4","1","4","2"
"Surco","2","7","2","7","2","7","2","1","2","5"
"Santa Anita","9","6","9","1","9","9","9","8","9","3"
"San Isidro","3","3","3","10","3","6","3","4","3","5"
"Ate","6","1","7","9","7","9","6","6","7","7"
"San Borja","1","5","1","1","1","10","1","3","1","1"
"Surco","7","8","7","6","7","2","7","8","7","9"
"Independencia","1","7","1","4","1","6","1","5","1","1"
"San Luis","7","10","7","6","8","8","7","8","8","5"
"Breña","2","7","2","8","2","6","2","8","2","9"
"Independencia","3","8","3","7","3","2","3","1","3","7"
"Miraflores","4","8","4","2","4","2","4","5","4","3"
"Ate","10","9","10","9","10","5","10","1","10","1"
"San Luis","7","4","7","4","7","7","7","3","7","2"
"Independencia","8","4","8","1","8","6","8","2","8","9"
"Breña","5","3","5","5","5","2","5","5","5","4"
"San Isidro","6","10","6","6","6","6","6","6","6","10"
"Surco","7","10","7","6","7","6","7","10","7","9"
"Independencia","3","2","3","2","3","6","3","4","3","9"
"La Molina","6","7","6","5","6","6","6","1","6","10"
"San Luis","1","3","2","4","2","3","2","2","2","3"
"Santa Anita","2","9","3","3","3","4","2","10","2","3"
"San Isidro","2","4","2","1","2","1","2","10","2","10"
"La Molina","4","5","4","9","4","3","4","6","4","2"
"San Borja","5","9","5","1","5","7","5","7","5","3"
"Breña","8","5","8","3","8","5","8","7","8","3"
"Barranco","6","9","6","10","6","5","6","5","6","3"
"Miraflores","5","4","5","8","5","3","5","5","5","10"
"Independencia","6","6","6","7","6","4","6","8","6","5"
"Breña","7","5","7","6","7","2","7","10","7","1"
"La Molina","3","7","3","4","3","5","3","3","3","9"
"San Luis","9","4","9","2","9","4","9","1","9","5"
"Breña","1","1","1","3","1","10","1","7","1","4"
"Surco","2","2","2","7","2","8","2","5","2","6"
"Independencia","1","9","1","6","1","4","1","9","1","4"
"Surco","6","2","6","6","6","6","6","3","6","1"
"Breña","5","6","5","8","5","6","5","3","5","8"
"San Luis","1","4","1","3","1","3","1","4","1","4"
"Los Olivos","7","2","7","3","7","6","7","6","7","9"
"Miraflores","1","4","1","1","1","2","1","2","1","9"
"Ate","1","5","1","9","1","2","1","7","1","7"
"San Miguel","8","4","8","4","8","6","8","1","8","2"
"La Molina","5","7","5","10","5","5","5","7","5","8"
"San Luis","9","4","9","10","9","5","9","1","9","4"
"San Isidro","10","1","10","6","10","10","10","2","10","4"
"Santa Anita","6","9","6","7","6","7","6","4","6","3"
"San Isidro","3","9","3","3","3","5","3","6","3","3"
"San Miguel","10","10","10","3","10","5","10","8","10","9"
"Ate","5","7","5","1","5","4","5","7","5","2"
"Miraflores","5","9","5","2","5","9","5","7","5","8"
"San Miguel","5","6","6","8","6","10","5","7","6","9"
"San Borja","5","7","5","1","5","4","5","2","5","5"
"Los Olivos","2","10","2","8","2","10","2","8","2","7"
"Los Olivos","6","7","6","2","6","2","6","2","6","3"
"San Borja","7","4","8","2","8","8","8","1","8","10"
"Santa Anita","2","7","3","8","3","4","2","6","2","8"
"San Miguel","8","3","8","9","8","1","8","10","8","9"
"Santa Anita","9","5","9","5","9","5","9","5","9","8"
"Ate","5","2","5","9","5","6","5","7","5","4"
"Los Olivos","1","9","1","7","1","9","1","3","1","4"
"Surco","3","8","3","5","3","10","3","5","3","10"
"San Isidro","10","10","10","1","10","2","10","8","10","1"
"Barranco","3","7","3","3","3","7","3","8","3","5"
"San Borja","1","10","2","2","2","7","2","1","2","6"
"Independencia","7","7","7","8","7","7","7","1","7","2"
"Pueblo Libre","3","9","4","4","4","10","4","4","4","9"
"La Molina","4","5","4","5","4","4","4","10","4","9"
"Independencia","1","8","1","6","1","2","1","2","1","6"
"La Molina","2","3","2","9","2","2","2","6","2","1"
"Ate","7","9","7","7","7","6","7","5","7","1"
"Miraflores","5","3","5","10","5","7","5","3","5","6"
"San Isidro","1","2","1","3","1","6","1","5","1","1"
"Surco","7","7","7","9","7","5","7","8","7","8"
"San Miguel","5","5","5","6","5","6","5","2","5","2"
"Barranco","1","3","1","2","1","5","1","9","1","9"
"San Isidro","7","7","7","6","8","4","8","10","8","8"
"Surco","5","4","5","6","5","6","5","9","5","2"
"Los Olivos","9","8","9","3","10","10","9","1","9","7"
"Breña","10","1","10","7","10","5","10","1","10","7"
"San Borja","2","6","2","8","2","4","2","3","2","10"
"Ate","5","2","5","5","5","10","5","5","5","3"
"San Luis","10","9","10","3","10","2","10","4","10","1"
"Barranco","4","7","4","5","4","7","4","7","4","5"
"Barranco","1","3","1","1","1","3","1","7","1","6"
"San Isidro","8","5","8","7","8","2","8","8","8","10"
"San Isidro","10","6","10","9","10","6","10","2","10","10"
"San Miguel","4","6","4","10","4","3","4","7","4","1"
"Surco","1","3","1","4","1","1","1","10","1","5"
"San Luis","1","1","1","10","1","6","1","10","1","9"
"Miraflores","5","1","5","1","5","9","5","3","5","4"
"Santa Anita","9","10","9","3","9","5","9","1","9","7"
"San Miguel","2","4","2","2","2","4","2","7","2","7"
"Surco","3","10","4","8","4","1","4","10","4","9"
"San Isidro","9","4","9","1","9","7","9","7","9","9"
"Los Olivos","6","4","6","3","7","5","6","6","6","7"
"Barranco","1","5","1","2","1","6","1","7","1","3"
"San Isidro","8","8","8","6","8","2","8","5","8","7"
"Surco","8","7","8","3","8","3","8","6","8","9"
"Los Olivos","8","2","8","10","8","9","8","3","8","9"
"Barranco","6","8","6","2","6","9","6","1","6","1"
"La Molina","5","4","5","4","5","5","5","9","5","4"
"Santa Anita","8","7","9","7","9","5","9","6","8","7"
"San Borja","2","1","2","3","2","10","2","6","2","7"
"Los Olivos","7","1","7","8","7","5","7","5","7","6"
"Miraflores","9","1","9","4","9","10","9","8","9","2"
"Miraflores","1","9","2","8","2","10","2","6","2","6"
"Los Olivos","2","2","2","9","2","1","2","5","2","4"
"San Isidro","10","4","10","8","10","7","10","3","10","8"
"San Borja","9","6","9","5","9","5","9","9","9","2"
"Surco","4","7","4","4","4","2","4","4","4","3"
"Barranco","9","4","9","10","9","2","9","7","9","6"
"Los Olivos","7","3","7","1","7","7","7","5","7","1"
"San Luis","1","8","1","5","1","3","1","10","1","5"
"Miraflores","10","9","10","4","10","10","10","2","10","4"
"Ate","10","1","10","8","10","6","10","7","10","3"
"Pueblo Libre","10","3","10","9","10","10","10","10","10","4"
"Miraflores","7","3","7","4","7","5","7","7","7","8"
"San Isidro","8","1","8","10","8","6","8","6","8","8"
"Barranco","5","2","6","4","6","5","6","7","6","1"
"Los Olivos","3","5","3","1","3","10","3","7","3","3"
"San Miguel","6","9","6","9","6","7","6","4","6","8"
"Santa Anita","4","5","4","10","4","8","4","8","4","1"
"Santa Anita","9","7","9","1","9","6","9","8","9","3"
"Independencia","2","1","2","10","2","5","2","3","2","7"
"Breña","4","6","4","4","4","8","4","2","4","4"
"Santa Anita","3","3","3","4","3","1","3","8","3","2"
"Miraflores","8","5","8","10","8","9","8","6","8","9"
"San Luis","10","4","10","2","10","2","10","4","10","8"
"Miraflores","10","7","10","1","10","1","10","9","10","8"
"Barranco","4","9","4","10","5","4","4","3","5","5"
"San Luis","3","4","3","2","3","10","3","4","3","4"
"San Borja","6","6","6","1","7","7","6","9","6","3"
"Surco","1","10","2","5","1","7","1","9","2","2"
"Miraflores","7","5","8","9","8","5","8","3","8","4"
"Los Olivos","5","7","5","10","5","9","5","9","5","7"
"Pueblo Libre","5","3","6","8","6","8","6","2","6","3"
"Independencia","1","2","1","1","1","3","1","8","1","5"
"Barranco","7","7","8","3","8","3","8","10","8","1"
"Pueblo Libre","4","9","4","3","4","2","4","5","4","3"
"Independencia","4","5","4","2","4","3","4","5","4","10"
"La Molina","9","2","9","10","10","9","9","3","9","5"
"Miraflores","1","1","1","10","1","9","1","9","1","4"
"Pueblo Libre","1","4","2","7","1","4","1","5","2","9"
"Breña","9","2","9","9","9","4","9","1","9","3"
"Ate","3","4","3","6","3","9","3","9","3","3"
"Ate","8","10","8","4","8","7","8","7","8","5"
"Independencia","3","3","3","8","3","9","3","3","3","1"
"Santa Anita","6","3","7","10","7","3","6","8","6","5"
"Los Olivos","7","5","7","2","8","4","8","8","8","5"
"Los Olivos","7","6","7","4","7","10","7","10","7","1"
"San Luis","2","5","2","10","2","1","2","4","2","4"
"San Isidro","3","7","3","2","3","8","3","9","3","10"
"Los Olivos","3","3","3","3","3","2","3","7","3","6"
"Miraflores","6","10","6","3","7","1","6","4","6","2"
"Independencia","2","10","2","4","2","8","2","10","2","9"
"San Miguel","7","9","7","9","7","2","7","6","7","1"
"San Isidro","10","9","10","2","10","8","10","7","10","2"
"Miraflores","4","6","4","5","5","4","4","5","5","4"
"San Miguel","1","7","1","6","1","3","1","6","1","2"
"La Molina","5","3","5","2","5","3","5","8","5","8"
"La Molina","4","7","4","10","4","4","4","3","4","6"
"Santa Anita","1","3","1","2","1","2","1","5","1","7"
"San Luis","2","3","3","9","3","1","3","1","2","7"
"Independencia","4","9","4","10","4","4","4","6","4","4"
"Santa Anita","9","2","9","9","9","1","9","1","9","2"
"San Borja","10","1","10","2","10","2","10","7","10","10"
"La Molina","2","10","2","7","2","5","2","7","2","3"
"San Luis","5","8","6","1","6","10","6","8","6","5"
"La Molina","3","5","3","1","3","5","3","2","3","8"
"La Molina","7","9","7","2","7","10","7","6","7","5"
"Miraflores","3","6","3","10","4","6","4","4","4","5"
"Los Olivos","9","4","9","5","9","9","9","5","9","5"
"Breña","9","8","9","5","9","3","9","6","9","5"
"Santa Anita","4","5","4","7","4","5","4","8","4","10"
"San Borja","8","5","8","10","8","2","8","1","8","9"
